16 0.967 ..o..........xxo|...x.o.###.........
14 0.981 #.......#.ox....xoo..x.|...#........
15 0.9791 #.#.o.##o..#|x...##..#x.##.#.#ox...#
7 0.9677 .|####x.####ox..xo.o#######.#....#.#
18 0.9862 ..........o.o.x.........x..|...o.x..
24 0.9586 .o.x..x...........o......|.#...o.x..
16 0.8509 ox..xo.##.o.........x.........|..#.#
18 0.9809 #.......x#...o|...#.##.x#.#ox...###o
15 0.9434 ......#...x......o....ox.o..x.....|.
16 0.9817 .xo........#.##..........xxo#|o...##
26 0.9639 ..o...|#....o...x..#x.x#.o.........#
18 0.8878 .#...##..#o.#.#.x#o##x..x...o.|...#.
16 0.9756 ......|..o....o.x..xx.#..o.....#....
19 0.9254 ....o#xx..#..o..........o.x....|...#
22 0.9275 .....#.x..|o..xx#...#.#...#....o.o.#
22 0.9013 .#.#.....#|o#.#o.x.ox....x.......#..
11 0.935 ...#..#.|x.o.#.x..........o.xo.#..#.
16 0.8934 .x.o..ox.....|......x.......#..o.#..
20 0.9617 .........|x..x.........x.....oo.o...
20 0.9876 ......#...x.o..oo##x..x...........|.
16 0.8916 ..oo..x.x....#.x...#....o.....|.....
19 0.9246 ..#......x.x..#o.o....x#......#..|.o
14 0.9248 .......#......xxo..x...#.oo#...|....
19 0.963 .xo#...xo|.....#..#.x....#......#..o
20 0.9492 .........#.x...#..x...xoo.o..|...#.#
15 0.9948 ###...#...x..#.o..#.#.o....x..|#..xo
18 0.9625 ...o....x...oxx##|.....o............
23 0.9082 .......x.x...o.....ox#........o...|.
22 0.9672 oo...#.....#xxx|....#.....o......#..
20 0.9513 ..#..........x...#.x...o..ox.|.o....
17 0.9558 ......x.o....ox.#.......o#.x.#.#.|..
16 0.8297 .x..|oo.x...o..x.................#..
19 0.9692 ..o..#..##|#.xox.........x...o......
19 0.955 ...#.o...x....x.....o.x..o........|.
23 0.9516 |.#.....x...o...........ox.x...o....
23 0.9191 o.#......xx.x.|o...#o...........#...
19 0.9923 o....#...|x......#..x....x.....o.o..
23 0.9402 .o..#.....#..#....xx.o|..x.#..o....#
18 0.9561 .....o..xx.o.xo......#..#.........|.
25 0.9696 #.#.xo...o.o|...#...........xx......
19 0.9509 o..|x..x#...........xo.......o.....#
23 0.7892 ........oxx.o.#ox....#.............|
19 0.9015 .#..o#.#.....##xo#..o....xx......|..
11 0.9374 ....##...o.#ox|x....x........#...o#.
25 0.9295 o..#..o.#o.#x.x..#..|.#.....x.......
24 0.9248 .x.o......#.#.#..x.#....|..xo......o
20 0.9594 ..o#...#.x..o.......x.x.........|o..
23 0.8843 .......xx...|#o....o.......ox..#....
13 0.9493 #...o.ox..x..ox..#|#........#.....#.
26 0.8654 ...o..#.x#.##x.x.#o.....#.###|.o#..#
19 0.93 .#..#o##x.#.#o.o..#.|x.x......#.....
18 0.9476 .............|.....x..x...o.xo..o...
24 0.9308 ...xo.##....#..|x...#....#..#o.x...o
15 0.962 ......o.#...x.#.x...#.|oox...##.####
19 0.9632 ....xo.x.o..........|x.#.##.#.o##...
14 0.9192 ..#.##.|...#...xo..#.xoo.#.#x.......
28 0.9587 #..o......o|.x..##.x..###..##.#.xo#.
17 0.9128 ##.....o..x..x..oo..##.x.......|.###
19 0.9632 .x.o.....#|....x...x.....o.o#....#..
16 0.8771 ..........o......#...xx...x..|##.o.o
21 0.8886 |#.#.o...x..#..xo...#.#.#..##..o.x..
19 0.9842 ..........x....|.......ox...x.o..o..
29 0.9116 o........ox#|.....x......#.......x.o
15 0.9161 ....o..x.#.o.o|x.x.#......#......#..
26 0.9208 o....o|.......#..x..........x...o.x.
22 0.9066 .#.......#x|.....oo.....xx......o...
18 0.9407 ..|.......oo..x.............x...o.x.
22 0.9189 ##...o.|......#.x..x.o.o..x.......#.
16 0.7663 .#.o..|#.o.#x..x..o#..x.........#.#.
17 0.8507 .#.....#....#.xx.......o.|o....#ox..
18 0.9154 .o.#....x.....x...........x.|o.#o...
22 0.8938 o...x..#.xx..#..o..|.#.......o......
17 0.863 .........o...x.ox...#..#ox.#......|.
17 0.9839 ........##x........x#.o..o.ox.|#...#
25 0.7307 .........x.|...xo.....o##x..o#......
18 0.9368 o.x.#..........#...o..x#.#..xo|..#..
20 0.9034 #.o#o|.x......x..#....x.........o...
19 0.9831 .#.....xo..x.......o..x......o....|.
16 0.8916 ##..##..x..#..x.##...|#.oxoo#.##..#.
17 0.9893 .#.|.o........x....xo..x.........o.#
25 0.8897 .o......x..x....#.....x..|...o..##.o
14 0.8722 ...#..#x.|..o......xo.##..x.#.##o..#
22 0.8851 o|#.....#............x.o.#.xx...o...
17 0.8656 .....o.##....#.o...xox.x..#..|....#.
21 0.9236 o...x....o...x|.o#.........x...#...#
23 0.9381 .o.x....o#.x.|.....x.#...#.........o
19 0.928 ...##o...o#.#....x#.#x..#o..x#....|#
14 0.9716 .o#.......x..xo...#|.....#.#x..#..o.
17 0.9898 ..o....|.ox.#x..x.#o.............#..
18 0.9779 |.oo..ox.....x....#...#....x###.....
29 0.877 ....#....xx........o#.o....x.....|.o
13 0.9022 ....#....o...........#x|#x...x.o...o
19 0.9031 .....o.|..#x.......#..x..#o....o..x.
16 0.9965 ....xo....o.....x....x..|......#...o
17 0.8737 ........|...#xx...ox.......o......o.
20 0.9216 o.....#.....#xx.......#.o|...x...#.o
22 0.8785 ...#.#..x......x..#|x....o...o...o..
20 0.9368 ........x.....#........x|..ox...o..o
21 0.9832 ......#.x#........o#|.x#x...o.....o.
21 0.9669 ......x..#.o|x..x.......o......#o...
19 0.9048 ......#....o#...x.ox.#.x#..|..o..#..
20 0.8373 .#...#|.x.....x....ox..o.......o....
19 0.8297 .o....x.......ox..o.##..#...x...|...
25 0.9648 o#....|#.x##x.........o..o..x....###
26 0.9799 .........x..oxo#..|#.......#x..o....
18 0.835 .#.xo...|..x.xo.#.......#...#o#...#.
22 0.9871 o...x.......o......x.............xo|
21 0.8736 ......ox.o#.x....#...|.#.x.......o..
20 0.8599 .#..|....x#.#.x.o..x........o.....o#
21 0.9841 o..x...o........|x........x........o
16 0.9544 ...o....x.x.#.o..o...#..|x#.........
19 0.8792 .##.........o..ox..x#.....|...#.ox..
20 0.9418 ...o#.#...x.....xo.x...|..#o.......#
13 0.985 ..o.................o.x...x.x...|.o.
20 0.9282 o.....#..#xx.|....#..#x....#oo...#.#
21 0.7369 ..|..#..#x....#.x#..#..o.......o.ox.
19 0.9935 ...o....o.....x..........x......ox|.
19 0.8576 ..o......#....|..x..#.x....oxo......
30 0.8215 |#...o.....o..#....x......#x.##...xo
10 0.9822 ........#.....xo.#.|..xo#..x#..#..o.
18 0.9427 .xo.xo....x.#.#....o|...#........##.
12 0.9959 .|#.#.....xo##..x....x...#o..##...o.
22 0.9984 o.x.#...|.......#.....x.x#....o....o
14 0.995 .|...#..x#...#o......#....x....oox.#
17 0.7872 ..#o...#|.x.#...o...x......x.o###.#.
18 0.8593 .|..o..#.ox..x........#.....x..#...o
24 0.8385 .......xo...o.o.x#..#...x.#..|...#..
22 0.7712 ....|.o#.....x.x..x.#o#......o#.#...
14 0.9827 ..#..#.#.#.......x#...#|##.xoo.o.x..
15 0.8436 ...o..|.xo...#...##...x.#ox..#.....#
16 0.9728 ..................xx.....o|x..o.#..o
20 0.8106 o.x|#.....o.o.#x....x.....#...#.....
26 0.7805 .x..o...|..o..o..#.x......x#.#.....#
20 0.7187 ..#.o...x.....o#..ox|.x...#.........
17 0.9287 #.oo.##...##..x...##ox.....x...#|...
17 0.8502 #.......#..#|...xo.x......ox#..o....
8 0.9918 ...|.#..x..##....#.x..o..o.x#.#..o..
20 0.9539 .##.#.o|...#.#.#x..x..o.xo........#.
24 0.7514 oo....#..x#.......#......xx....|#o..
26 0.6461 ...o|#x.x..#......o.#o...x##.......#
21 0.7374 ..........x|o.x.o..#....x#........o.
26 0.8361 o...x...|.....##...##..x.#.#...o..xo
15 0.9736 .......#...|o......#.xx.xo........o#
13 0.9637 .........x.o..........x..oox|.......
18 0.8894 ..#.o.#.#.....x.....|#.x..x..o.o..#.
14 0.9995 ##..#o##.#.x.......#.#x...|#o#.x.o#.
18 0.7624 o#....|.xo.#x..#......x........#.o..
17 0.8665 .....#..o.....|x...x..#.#.x.o....o..
16 0.9442 .........ox..x.x.o..o#.......#|.....
22 0.8153 .......o.....xo.x...x.....#.|...o...
19 0.9674 .ox...#...o...........x..|.x..o.....
16 0.9636 ...|.......o...xxo.x...........o....
23 0.9681 .....#x.x.......|...#o..o.....o.x...
23 0.6969 ..............#.|##xx...oox....o....
17 0.9316 o..#...ox.....x.....#......x.....o.|
23 0.8242 #..|.#...x...#o.......x...xo#.o#.#..
14 0.876 ......ox..o.|..x.........x....#.o...
17 0.9958 o.x....##....#.#...ox..|...#....ox..
25 0.9734 ....|o.x.#.....x.....#.o.......o.x..
17 0.9906 #.#.#............xo...x..x|.o......o
23 0.8952 #..x.o..#.....##x........x.o.#..|..o
20 0.8873 .......#xo.o....x|o.x...............
22 0.8195 ....#.o|.##o.x#.x...x.o.........#...
17 0.8031 ....#........o.....#x.|...x.xo..o..#
21 0.9045 o.......#.....xx............|...ox.o
21 0.7647 .x|.o.............#x..#.......oox...
25 0.8018 #........o..#.#..o.#..#...xx....|ox.
26 0.8063 .......oo....o..x...#...|.xx.......#
23 0.9023 ..o.#.o...x.......|.......x..#o..x.#
17 0.9898 ....xo.x..##.#..o...o.x....#.....#|.
20 0.9242 ..#.....xx..o....o.x#o......#.#.|...
26 0.6989 #.o..|..x...o.#....x..........#..ox.
20 0.7325 ....#...x...#|..o.....#o.xo#.x#.....
16 0.7032 ........o.x.........x.........o..ox|
19 0.9334 ........xx......oo.....o.....x.....|
24 0.8056 ........#x.o.x....o|#x...........o..
19 0.8741 ..##...x..o....#x#o.x....|.......o..
24 0.9147 .|.......x.....o...#...x.x.....o...o
22 0.6936 o.o#.#........x.....xx|.o...#.#.#...
28 0.7538 o...o.|........x..##xo....x.........
19 0.7985 .o..#...x..o.o.#....x......|x.......
24 0.9456 ........x......x..o..........o.|o.x.
25 0.7597 o.|#.....##.........o...x...x...x.o.
16 0.9646 .........o....x#...#|.x.....o...xo..
18 0.9856 .x.o..o|o.......#.xx...#............
14 0.8471 ................o.ox...|..x.x.o.....
25 0.9247 ...#.|#.x.o#...#.....#......xo...x.o
22 0.7633 .....o...x.....x.......x......|.#oo.
30 0.8135 |....#..#........o#..xxx..#.#o.....o
23 0.9205 o...o.....x.|.o.......x....x........
16 0.9779 #o...###....#o......xx#|.ox......#.#
18 0.9909 ..o.........x...o........xx|..o.....
13 0.9973 .|...........xo..o.x..x.......#o...#
20 0.8887 ....|..##.o.x.x..#..x...oo..##..#...
25 0.8681 ..|..#..o...o..x...o.#x...x...#.....
17 0.7037 .|.....x...o..........o#....x...x..o
21 0.8516 ..#.o....#.#.x....o#|x...x...o...#..
23 0.8309 .......o.ox...#x....#....o..x..|....
14 0.9987 .....o..xxxoo.......|...............
